"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-29,3,NA,3,NA,NA,NA
2020-04-05,7,NA,7,NA,NA,NA
2020-04-12,2,NA,2,NA,NA,NA
2020-04-19,3,NA,3,NA,NA,NA
2020-04-26,8,NA,8,NA,NA,NA
2020-05-03,2,NA,2,NA,NA,NA
2020-05-10,6,NA,6,NA,NA,NA
2020-05-17,9,NA,9,NA,NA,NA
2020-05-24,7,NA,7,NA,NA,NA
2020-05-31,10,NA,10,NA,NA,NA
2020-06-07,30,NA,30,NA,NA,NA
2020-06-14,42,NA,42,NA,NA,NA
2020-06-21,64,NA,64,NA,NA,NA
2020-06-28,56,NA,56,NA,NA,NA
2020-07-05,70,NA,70,NA,NA,NA
2020-07-12,86,NA,86,NA,NA,NA
2020-07-19,92,NA,92,NA,NA,NA
2020-07-26,103,NA,103,NA,NA,NA
2020-08-02,96,NA,96,NA,NA,NA
2020-08-09,87,NA,87,NA,NA,NA
2020-08-16,99,NA,99,NA,NA,NA
2020-08-23,65,NA,65,NA,NA,NA
2020-08-30,65,NA,65,NA,NA,NA
2020-09-06,69,NA,69,NA,NA,NA
2020-09-13,77,NA,77,NA,NA,NA
2020-09-20,64,NA,64,NA,NA,NA
2020-09-27,68,NA,68,NA,NA,NA
2020-10-04,59,NA,59,NA,NA,NA
2020-10-11,53,NA,53,NA,NA,NA
2020-10-18,43,NA,43,NA,NA,NA
2020-10-25,27,NA,27,NA,NA,NA
2020-11-01,24,NA,24,NA,NA,NA
2020-11-08,17,NA,17,NA,NA,NA
2020-11-15,23,NA,23,NA,NA,NA
2020-11-22,18,NA,18,NA,NA,NA
2020-11-29,7,NA,7,NA,NA,NA
2020-12-06,23,NA,23,NA,NA,NA
2020-12-13,20,NA,20,NA,NA,NA
2020-12-20,25,NA,25,NA,NA,NA
2020-12-27,24,NA,24,NA,NA,NA
2021-01-03,22,NA,22,NA,NA,NA
2021-01-10,44,NA,44,NA,NA,NA
2021-01-17,57,NA,57,NA,NA,NA
2021-01-24,47,NA,47,NA,NA,NA
2021-01-31,74,NA,74,NA,NA,NA
2021-02-07,74,NA,74,NA,NA,NA
2021-02-14,53,NA,53,NA,NA,NA
2021-02-21,38,NA,38,NA,NA,NA
2021-02-28,73,NA,73,NA,NA,NA
2021-03-07,89,NA,89,NA,NA,NA
2021-03-14,124,NA,124,NA,NA,NA
2021-03-21,149,NA,149,NA,NA,NA
2021-03-28,180,NA,180,NA,NA,NA
2021-04-04,181,NA,181,NA,NA,NA
2021-04-11,176,NA,176,NA,NA,NA
2021-04-18,134,NA,134,NA,NA,NA
2021-04-25,141,NA,141,NA,NA,NA
2021-05-02,115,NA,115,NA,NA,NA
2021-05-09,123,NA,123,NA,NA,NA
2021-05-16,142,NA,142,NA,NA,NA
2021-05-23,147,NA,147,NA,NA,NA
2021-05-30,146,NA,146,NA,NA,NA
2021-06-06,200,NA,200,NA,NA,NA
2021-06-13,177,NA,177,NA,NA,NA
2021-06-20,123,NA,123,NA,NA,NA
2021-06-27,122,NA,122,NA,NA,NA
2021-07-04,70,NA,70,NA,NA,NA
2021-07-11,59,NA,59,NA,NA,NA
2021-07-18,64,NA,64,NA,NA,NA
2021-07-25,56,NA,56,NA,NA,NA
2021-08-01,48,NA,48,NA,NA,NA
2021-08-08,59,NA,59,NA,NA,NA
2021-08-15,51,NA,51,NA,NA,NA
2021-08-22,56,NA,56,NA,NA,NA
2021-08-29,41,NA,41,NA,NA,NA
2021-09-05,29,NA,29,NA,NA,NA
2021-09-12,NA,38,38,NA,38,39
2021-09-19,NA,22,22,NA,22,24
2021-09-26,NA,21,21,NA,21,23
2021-10-03,NA,19,19,NA,19,21
2021-10-10,NA,15,15,NA,15,18
2021-10-17,NA,15,15,NA,15,18
2021-10-24,NA,13,13,NA,12,15
2021-10-31,NA,6,6,NA,5,8
2021-11-07,NA,12,12,NA,8,18
