"dt_evoluca","n.casos"
2020-03-12,1
2020-03-15,1
2020-03-16,3
2020-03-17,2
2020-03-18,4
2020-03-19,6
2020-03-20,10
2020-03-21,9
2020-03-22,11
2020-03-23,17
2020-03-24,19
2020-03-25,17
2020-03-26,18
2020-03-27,29
2020-03-28,36
2020-03-29,29
2020-03-30,31
2020-03-31,44
2020-04-01,45
2020-04-02,49
2020-04-03,45
2020-04-04,62
2020-04-05,51
2020-04-06,56
2020-04-07,64
2020-04-08,49
2020-04-09,36
2020-04-10,64
2020-04-11,51
2020-04-12,49
2020-04-13,59
2020-04-14,46
2020-04-15,56
2020-04-16,45
2020-04-17,65
2020-04-18,52
2020-04-19,41
2020-04-20,59
2020-04-21,48
2020-04-22,61
2020-04-23,75
2020-04-24,55
2020-04-25,44
2020-04-26,60
2020-04-27,56
2020-04-28,58
2020-04-29,65
2020-04-30,52
2020-05-01,57
2020-05-02,49
2020-05-03,56
2020-05-04,56
2020-05-05,66
2020-05-06,54
2020-05-07,63
2020-05-08,66
2020-05-09,43
2020-05-10,52
2020-05-11,29
2020-05-12,29
2020-05-13,7
2020-05-14,1
