dt_int,observed,estimate,upper,lower
2019-12-30,3,3,3,3
2019-12-31,2,2,2,2
2020-01-01,10,10,10,10
2020-01-02,5,5,5,5
2020-01-03,8,8,8,8
2020-01-04,15,15,15,15
2020-01-05,7,7,7,7
2020-01-06,7,7,7,7
2020-01-07,6,6,6,6
2020-01-08,2,2,2,2
2020-01-09,9,9,9,9
2020-01-10,5,5,5,5
2020-01-11,5,5,5,5
2020-01-12,5,5,5,5
2020-01-13,5,5,5,5
2020-01-14,5,5,5,5
2020-01-15,11,11,11,11
2020-01-16,4,4,4,4
2020-01-17,10,10,10,10
2020-01-18,4,4,4,4
2020-01-19,2,2,2,2
2020-01-20,5,5,5,5
2020-01-21,3,3,3,3
2020-01-22,7,7,7,7
2020-01-23,4,4,4,4
2020-01-24,5,5,5,5
2020-01-25,8,8,8,8
2020-01-26,6,6,6,6
2020-01-27,3,3,3,3
2020-01-28,8,8,8,8
2020-01-29,7,7,7,7
2020-01-30,10,10,10,10
2020-01-31,6,6,6,6
2020-02-01,4,4,4,4
2020-02-02,7,7,7,7
2020-02-03,10,10,10,10
2020-02-04,7,7,7,7
2020-02-05,8,8,8,8
2020-02-06,10,10,10,10
2020-02-07,3,3,3,3
2020-02-08,5,5,5,5
2020-02-09,7,7,7,7
2020-02-10,10,10,10,10
2020-02-11,7,7,7,7
2020-02-12,11,11,11,11
2020-02-13,11,11,11,11
2020-02-14,7,7,7,7
2020-02-15,10,10,10,10
2020-02-16,5,5,5,5
2020-02-17,19,19,19,19
2020-02-18,12,12,12,12
2020-02-19,18,18,18,18
2020-02-20,17,17,17,17
2020-02-21,8,8,8,8
2020-02-22,7,7,7,7
2020-02-23,14,14,14,14
2020-02-24,9,9,9,9
2020-02-25,15,15,15,15
2020-02-26,22,22,22,22
2020-02-27,20,20,20,20
2020-02-28,17,17,17,17
2020-02-29,16,16,16,16
2020-03-01,13,13,13,13
2020-03-02,18,18,18,18
2020-03-03,31,31,31,31
2020-03-04,25,25,25,25
2020-03-05,19,19,19,19
2020-03-06,19,19,19,19
2020-03-07,26,26,26,26
2020-03-08,21,21,21,21
2020-03-09,33,33,33,33
2020-03-10,36,36,36,36
2020-03-11,51,51,51,51
2020-03-12,80,80,80,80
2020-03-13,80,80,80,80
2020-03-14,90,90,90,90
2020-03-15,120,120,120,120
2020-03-16,177,177,177,177
2020-03-17,227,227,227,227
2020-03-18,334,334,334,334
2020-03-19,395,395,395,395
2020-03-20,461,461,461,461
2020-03-21,448,448,448,448
2020-03-22,383,383,383,383
2020-03-23,526,526,526,526
2020-03-24,588,588,588,588
2020-03-25,638,638,638,638
2020-03-26,748,748,748,748
2020-03-27,737,737,737,737
2020-03-28,620,620,620,620
2020-03-29,607,607,607,607
2020-03-30,849,849,849,849
2020-03-31,761,761,761,761
2020-04-01,702,702,702,702
2020-04-02,740,740,740,740
2020-04-03,640,640,640,640
2020-04-04,600,600,600,600
2020-04-05,534,534,534,534
2020-04-06,710,710,710,710
2020-04-07,693,693,693,693
2020-04-08,674,674,674,674
2020-04-09,613,613,613,613
