dt_int,observed,estimate,upper,lower
2020-03-29,1,1,1,1
2020-03-31,1,1,1,1
2020-04-01,1,1,1,1
2020-04-05,1,1,1,1
2020-04-09,2,2,2,2
2020-04-11,2,2,2,2
2020-04-14,1,1,1,1
2020-04-15,1,1,1,1
2020-04-19,1,1,1,1
2020-04-21,1,1,1,1
2020-04-23,1,1,1,1
2020-04-24,1,1,1,1
2020-04-26,1,1,1,1
2020-04-28,1,1,1,1
2020-04-29,1,1,1,1
2020-04-30,2,2,2,2
2020-05-01,1,1,1,1
2020-05-08,5,5,5,5
2020-05-10,4,4,4,4
2020-05-12,4,4,4,4
2020-05-13,1,1,1,1
2020-05-14,1,1,1,1
2020-05-17,2,2,2,2
2020-05-18,1,1,1,1
2020-05-19,3,3,3,3
2020-05-22,2,2,2,2
2020-05-23,6,6,6,6
2020-05-24,1,1,1,1
2020-05-25,1,1,1,1
2020-05-26,1,1,1,1
2020-05-27,3,3,3,3
2020-05-29,1,1,1,1
2020-05-30,2,2,2,2
2020-06-03,3,3,3,3
2020-06-04,2,2,2,2
2020-06-05,3,3,3,3
2020-06-06,4,4,4,4
2020-06-07,1,1,1,1
2020-06-08,1,1,1,1
2020-06-09,3,3,3,3
2020-06-10,4,4,4,4
2020-06-11,2,2,2,2
2020-06-12,3,3,3,3
2020-06-13,1,1,1,1
2020-06-14,2,2,2,2
2020-06-15,3,3,3,3
2020-06-16,4,4,4,4
2020-06-17,1,1,1,1
2020-06-18,3,3,3,3
2020-06-20,3,3,3,3
2020-06-21,2,2,2,2
2020-06-22,6,6,6,6
2020-06-23,6,6,6,6
2020-06-24,6,6,6,6
2020-06-25,6,6,6,6
2020-06-26,5,5,5,5
2020-06-27,1,1,1,1
2020-06-28,2,2,2,2
2020-06-29,1,1,1,1
2020-06-30,8,8,8,8
2020-07-01,5,5,5,5
2020-07-02,4,4,4,4
2020-07-03,4,4,4,4
2020-07-04,3,3,5,3
2020-07-05,2,2,2,2
2020-07-06,10,10,12,10
2020-07-07,7,7,9,7
2020-07-08,5,5,7,5
2020-07-09,6,6,8,6
2020-07-10,5,5,7,5
2020-07-11,6,6,10,6
2020-07-12,9,9,12,9
2020-07-13,9,9,18,9
2020-07-14,4,4,9,4
2020-07-15,4,4,11,4
2020-07-16,4,4,6,4
2020-07-17,7,7,12,7
2020-07-18,10,10,21,10
2020-07-19,4,4,7,4
2020-07-20,6,6,12,6
2020-07-21,10,10,17,10
2020-07-22,7,7,10,7
2020-07-23,3,3,7,3
2020-07-24,3,3,16,3
2020-07-25,4,4,13,4
2020-07-26,2,2,13,2
2020-07-27,9,10,17,9
2020-07-28,4,4,16,4
2020-07-29,1,2,17,1
2020-07-30,5,6,19,5
2020-07-31,5,9,25,5
2020-08-01,4,5,21,4
2020-08-02,7,10,24,7
2020-08-03,4,6,18,4
2020-08-04,2,4,20,2
2020-08-06,1,8,21,1
2020-08-07,1,4,17,1
2020-08-05,NA,4,20,NA
2020-08-08,NA,3,9,NA
2020-08-09,NA,8,10,NA
2020-08-10,NA,2,17,NA
