"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-29,1,NA,1,1.16666666666667,NA,NA
2020-03-30,1,NA,1,1,NA,NA
2020-03-31,3,NA,3,1.25,NA,NA
2020-04-02,1,NA,1,1.11111111111111,NA,NA
2020-04-04,NA,NA,1,1.2,NA,NA
2020-04-05,NA,0,0,1.1,0,0
2020-04-06,NA,0,0,1.1,0,1
2020-04-07,NA,3,3,0.8,3,4
2020-04-08,NA,0,0,0.9,0,1
2020-04-09,NA,2,2,0.8,2,3
2020-04-10,NA,0,0,0.8,0,1
2020-04-11,NA,1,1,0.9,1,2
2020-04-12,NA,0,0,0.8,0,1
2020-04-13,NA,2,2,0.8,2,3
2020-04-14,NA,0,0,0.7,0,1
2020-04-15,NA,0,0,0.9,0,1
2020-04-16,NA,1,1,0.9,1,2
2020-04-17,NA,2,2,1.1,2,3
2020-04-18,NA,0,0,0.9,0,1
2020-04-19,NA,1,1,0.9,1,2
2020-04-20,NA,2,2,0.9,2,3
2020-04-21,NA,1,1,0.8,1,2
2020-04-22,NA,2,2,0.7,2,3
2020-04-23,NA,0,0,0.7,0,1
2020-04-24,NA,0,0,0.7,0,1
2020-04-25,NA,0,0,0.5,0,1
2020-04-26,NA,0,0,0.4,0,1
2020-04-27,NA,1,1,0.3,1,2
2020-04-28,NA,0,0,0.3,0,1
2020-04-29,NA,1,1,0.3,1,3
2020-04-30,NA,0,0,0.3,0,2
2020-05-01,NA,0,0,0.3,0,2
2020-05-02,NA,1,1,0.2,1,3
2020-05-03,NA,0,0,0.2,0,2
2020-05-04,NA,0,0,0.1,0,2
2020-05-05,NA,0,0,0.1,0,2
2020-05-06,NA,0,0,0.1,0,2
2020-05-07,NA,0,0,0,0,2
2020-05-08,NA,0,0,0,0,2
2020-05-09,NA,0,0,0,0,2
2020-05-10,NA,0,0,0,0,3
2020-05-11,NA,0,0,0,0,3
2020-05-12,NA,0,0,0,0,3
2020-05-13,NA,0,0,0,0,3
