"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-22,13,NA,13,NA,NA,NA
2020-03-29,15,NA,15,NA,NA,NA
2020-04-05,15,NA,15,NA,NA,NA
2020-04-12,9,NA,9,NA,NA,NA
2020-04-19,20,NA,20,NA,NA,NA
2020-04-26,17,NA,17,NA,NA,NA
2020-05-03,32,NA,32,NA,NA,NA
2020-05-10,47,NA,47,NA,NA,NA
2020-05-17,48,NA,48,NA,NA,NA
2020-05-24,49,NA,49,NA,NA,NA
2020-05-31,80,NA,80,NA,NA,NA
2020-06-07,84,NA,84,NA,NA,NA
2020-06-14,99,NA,99,NA,NA,NA
2020-06-21,74,NA,74,NA,NA,NA
2020-06-28,105,NA,105,NA,NA,NA
2020-07-05,124,NA,124,NA,NA,NA
2020-07-12,111,NA,111,NA,NA,NA
2020-07-19,91,NA,91,NA,NA,NA
2020-07-26,89,NA,89,NA,NA,NA
2020-08-02,79,NA,79,NA,NA,NA
2020-08-09,84,NA,84,NA,NA,NA
2020-08-16,65,NA,65,NA,NA,NA
2020-08-23,61,NA,61,NA,NA,NA
2020-08-30,54,NA,54,NA,NA,NA
2020-09-06,57,NA,57,NA,NA,NA
2020-09-13,53,NA,53,NA,NA,NA
2020-09-20,55,NA,55,NA,NA,NA
2020-09-27,52,NA,52,NA,NA,NA
2020-10-04,47,NA,47,NA,NA,NA
2020-10-11,43,NA,43,NA,NA,NA
2020-10-18,41,NA,41,NA,NA,NA
2020-10-25,54,NA,54,NA,NA,NA
2020-11-01,42,NA,42,NA,NA,NA
2020-11-08,53,NA,53,NA,NA,NA
2020-11-15,65,NA,65,NA,NA,NA
2020-11-22,65,NA,65,NA,NA,NA
2020-11-29,81,NA,81,NA,NA,NA
2020-12-06,80,NA,80,NA,NA,NA
2020-12-13,77,NA,77,NA,NA,NA
2020-12-20,84,NA,84,NA,NA,NA
2020-12-27,97,NA,97,NA,NA,NA
2021-01-03,108,NA,108,NA,NA,NA
2021-01-10,131,NA,131,NA,NA,NA
2021-01-17,100,NA,100,NA,NA,NA
2021-01-24,120,NA,120,NA,NA,NA
2021-01-31,61,NA,61,NA,NA,NA
2021-02-07,80,NA,80,NA,NA,NA
2021-02-14,96,NA,96,NA,NA,NA
2021-02-21,142,NA,142,NA,NA,NA
2021-02-28,NA,233,233,NA,231,240
2021-03-07,NA,320,320,NA,317,330
2021-03-14,NA,377,377,NA,371,389
2021-03-21,NA,375,375,NA,365,389
2021-03-28,NA,342,342,NA,327,361
2021-04-04,NA,290,290,NA,268.975,314
2021-04-11,NA,243,243,NA,212.975,278
2021-04-18,NA,211,211,NA,156,278
2021-04-25,NA,217,217,NA,111.975,389
