dt_int,observed,estimate,upper,lower
2020-03-18,1,1,1,1
2020-03-19,1,1,1,1
2020-03-22,1,1,1,1
2020-03-23,1,1,1,1
2020-03-24,3,3,3,3
2020-03-25,4,4,4,4
2020-03-26,1,1,1,1
2020-03-27,2,2,2,2
2020-03-28,5,5,5,5
2020-03-29,4,4,4,4
2020-03-30,9,9,9,9
2020-03-31,3,3,3,3
2020-04-01,7,7,7,7
2020-04-02,4,4,4,4
2020-04-03,4,4,4,4
2020-04-04,4,4,4,4
2020-04-05,2,2,2,2
2020-04-06,6,6,6,6
2020-04-07,5,5,5,5
2020-04-08,5,5,5,5
2020-04-09,6,6,6,6
2020-04-10,1,1,1,1
2020-04-11,3,3,3,3
2020-04-12,3,3,3,3
2020-04-13,2,2,2,2
2020-04-14,3,3,3,3
2020-04-15,5,5,5,5
2020-04-16,1,1,1,1
2020-04-17,1,1,1,1
2020-04-18,1,1,1,1
2020-04-19,1,1,1,1
2020-04-21,7,7,7,7
2020-04-22,5,5,5,5
2020-04-23,4,4,4,4
2020-04-24,8,8,8,8
2020-04-25,7,7,7,7
2020-04-26,7,7,7,7
2020-04-27,10,10,10,10
2020-04-28,8,8,8,8
2020-04-29,4,4,4,4
2020-04-30,7,7,7,7
2020-05-01,1,1,1,1
2020-05-02,3,3,3,3
2020-05-03,7,7,7,7
2020-05-04,6,6,6,6
2020-05-05,6,6,6,6
2020-05-06,11,11,11,11
2020-05-07,5,5,5,5
2020-05-08,4,4,4,4
2020-05-09,11,11,11,11
2020-05-10,14,14,14,14
2020-05-11,7,7,7,7
2020-05-12,9,9,9,9
2020-05-13,7,7,7,7
2020-05-14,8,8,8,8
2020-05-15,4,4,4,4
2020-05-16,3,3,3,3
2020-05-17,11,11,11,11
2020-05-18,10,10,10,10
2020-05-19,10,10,10,10
2020-05-20,8,8,8,8
2020-05-21,13,13,13,13
2020-05-22,8,8,8,8
2020-05-23,8,8,8,8
2020-05-24,10,10,10,10
2020-05-25,7,7,7,7
2020-05-26,10,10,10,10
2020-05-27,8,8,8,8
2020-05-28,14,14,14,14
2020-05-29,22,22,22,22
2020-05-30,16,16,16,16
2020-05-31,12,12,12,12
2020-06-01,20,20,20,20
2020-06-02,11,11,11,11
2020-06-03,12,12,12,12
2020-06-04,17,17,17,17
2020-06-05,15,15,15,15
2020-06-06,16,16,16,16
2020-06-07,11,11,11,11
2020-06-08,20,20,20,20
2020-06-09,17,17,17,17
2020-06-10,16,16,16,16
2020-06-11,13,13,13,13
2020-06-12,20,20,20,20
2020-06-13,20,20,20,20
2020-06-14,14,14,14,14
2020-06-15,17,17,17,17
2020-06-16,23,23,23,23
2020-06-17,18,18,18,18
2020-06-18,18,18,18,18
2020-06-19,19,19,19,19
2020-06-20,8,8,8,8
2020-06-21,17,17,17,17
2020-06-22,13,13,13,13
2020-06-23,15,15,15,15
2020-06-24,18,18,18,18
2020-06-25,12,12,12,12
2020-06-26,16,16,16,16
2020-06-27,16,16,16,16
2020-06-28,13,13,13,13
2020-06-29,15,15,15,15
2020-06-30,22,22,22,22
2020-07-01,15,15,15,15
2020-07-02,13,13,13,13
2020-07-03,21,21,21,21
2020-07-04,17,17,17,17
2020-07-05,18,18,18,18
2020-07-06,19,19,20,19
2020-07-07,23,23,24,23
2020-07-08,29,29,29,29
2020-07-09,15,15,15,15
2020-07-10,15,15,17,15
2020-07-11,15,15,16,15
2020-07-12,17,17,23,17
2020-07-13,22,22,26,22
2020-07-14,25,25,30,25
2020-07-15,24,24,28,24
2020-07-16,22,22,24,22
2020-07-17,16,16,24,16
2020-07-18,20,20,23,20
2020-07-19,23,23,31,23
2020-07-20,29,29,34,29
2020-07-21,25,25,31,25
2020-07-22,23,23,29,23
2020-07-23,28,28,43,28
2020-07-24,28,28,40,28
2020-07-25,15,15,27,15
2020-07-26,17,17,33,17
2020-07-27,26,26,34,26
2020-07-28,22,26,30,22
2020-07-29,21,22,32,21
2020-07-30,15,16,24,15
2020-07-31,12,16,25,12
2020-08-01,11,16,29,11
2020-08-02,13,14,32,13
2020-08-03,30,36,58,30
2020-08-04,13,18,45,13
2020-08-05,18,23,39,18
2020-08-06,18,31,50,18
2020-08-07,7,13,34,7
2020-08-08,12,29,49,13
2020-08-09,9,19,62,10
2020-08-10,19,31,56,20
2020-08-11,10,22,49,10
2020-08-12,5,14,49,6
2020-08-13,NA,15,38,NA
2020-08-14,NA,19,47,NA
2020-08-15,NA,17,28,1
