"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-29,2,NA,2,NA,NA,NA
2020-04-05,7,NA,7,NA,NA,NA
2020-04-12,7,NA,7,NA,NA,NA
2020-04-19,8,NA,8,NA,NA,NA
2020-04-26,10,NA,10,NA,NA,NA
2020-05-03,17,NA,17,NA,NA,NA
2020-05-10,19,NA,19,NA,NA,NA
2020-05-17,16,NA,16,NA,NA,NA
2020-05-24,35,NA,35,NA,NA,NA
2020-05-31,41,NA,41,NA,NA,NA
2020-06-07,35,NA,35,NA,NA,NA
2020-06-14,38,NA,38,NA,NA,NA
2020-06-21,62,NA,62,NA,NA,NA
2020-06-28,68,NA,68,NA,NA,NA
2020-07-05,71,NA,71,NA,NA,NA
2020-07-12,59,NA,59,NA,NA,NA
2020-07-19,80,NA,80,NA,NA,NA
2020-07-26,72,NA,72,NA,NA,NA
2020-08-02,66,NA,66,NA,NA,NA
2020-08-09,68,NA,68,NA,NA,NA
2020-08-16,60,NA,60,NA,NA,NA
2020-08-23,63,NA,63,NA,NA,NA
2020-08-30,64,NA,64,NA,NA,NA
2020-09-06,40,NA,40,NA,NA,NA
2020-09-13,46,NA,46,NA,NA,NA
2020-09-20,42,NA,42,NA,NA,NA
2020-09-27,33,NA,33,NA,NA,NA
2020-10-04,48,NA,48,NA,NA,NA
2020-10-11,26,NA,26,NA,NA,NA
2020-10-18,33,NA,33,NA,NA,NA
2020-10-25,29,NA,29,NA,NA,NA
2020-11-01,33,NA,33,NA,NA,NA
2020-11-08,28,NA,28,NA,NA,NA
2020-11-15,37,NA,37,NA,NA,NA
2020-11-22,43,NA,43,NA,NA,NA
2020-11-29,68,NA,68,NA,NA,NA
2020-12-06,59,NA,59,NA,NA,NA
2020-12-13,61,NA,61,NA,NA,NA
2020-12-20,76,NA,76,NA,NA,NA
2020-12-27,76,NA,76,NA,NA,NA
2021-01-03,69,NA,69,NA,NA,NA
2021-01-10,79,NA,79,NA,NA,NA
2021-01-17,97,NA,97,NA,NA,NA
2021-01-24,86,NA,86,NA,NA,NA
2021-01-31,103,NA,103,NA,NA,NA
2021-02-07,108,NA,108,NA,NA,NA
2021-02-14,104,NA,104,NA,NA,NA
2021-02-21,105,NA,105,NA,NA,NA
2021-02-28,117,NA,117,NA,NA,NA
2021-03-07,146,NA,146,NA,NA,NA
2021-03-14,193,NA,193,NA,NA,NA
2021-03-21,301,NA,301,NA,NA,NA
2021-03-28,418,NA,418,NA,NA,NA
2021-04-04,402,NA,402,NA,NA,NA
2021-04-11,379,NA,379,NA,NA,NA
2021-04-18,313,NA,313,NA,NA,NA
2021-04-25,265,NA,265,NA,NA,NA
2021-05-02,221,NA,221,NA,NA,NA
2021-05-09,224,NA,224,NA,NA,NA
2021-05-16,177,NA,177,NA,NA,NA
2021-05-23,222,NA,222,NA,NA,NA
2021-05-30,252,NA,252,NA,NA,NA
2021-06-06,252,NA,252,NA,NA,NA
2021-06-13,314,NA,314,NA,NA,NA
2021-06-20,317,NA,317,NA,NA,NA
2021-06-27,310,NA,310,NA,NA,NA
2021-07-04,NA,257,257,NA,257,260
2021-07-11,NA,231,231,NA,231,234
2021-07-18,NA,158,158,NA,156,161
2021-07-25,NA,142,142,NA,139,147
2021-08-01,NA,95,95,NA,92,99
2021-08-08,NA,76,76,NA,73,81
2021-08-15,NA,67,67,NA,64,73
2021-08-22,NA,52,52,NA,48,58
2021-08-29,NA,57,57,NA,43,74
