"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-26,2,NA,2,1.33333333333333,NA,NA
2020-03-30,1,NA,1,1.28571428571429,NA,NA
2020-04-07,1,NA,1,1.25,NA,NA
2020-04-08,2,NA,2,1.33333333333333,NA,NA
2020-04-13,1,NA,1,1.3,NA,NA
2020-04-15,1,NA,1,1.3,NA,NA
2020-04-16,1,NA,1,1.4,NA,NA
2020-04-17,1,NA,1,1.5,NA,NA
2020-04-19,2,NA,2,1.7,NA,NA
2020-04-20,1,NA,1,1.7,NA,NA
2020-04-24,2,NA,2,1.8,NA,NA
2020-04-25,2,NA,2,1.8,NA,NA
2020-04-27,2,NA,2,2.1,NA,NA
2020-04-28,4,NA,4,2,NA,NA
2020-04-29,1,NA,1,2.2,NA,NA
2020-05-01,2,NA,2,2.5,NA,NA
2020-05-02,1,NA,1,2.5,NA,NA
2020-05-03,4,NA,4,2.4,NA,NA
2020-05-04,1,NA,1,2.2,NA,NA
2020-05-05,3,NA,3,2.6,NA,NA
2020-05-06,5,NA,5,2.8,NA,NA
2020-05-08,2,NA,2,3,NA,NA
2020-05-09,1,NA,1,3.1,NA,NA
2020-05-10,2,NA,2,3.5,NA,NA
2020-05-11,5,NA,5,3.4,NA,NA
2020-05-12,4,NA,4,3.7,NA,NA
2020-05-13,3,NA,3,3.6,NA,NA
2020-05-14,5,NA,5,4.1,NA,NA
2020-05-15,5,NA,5,4.3,NA,NA
2020-05-16,2,NA,2,4.3,NA,NA
2020-05-17,8,NA,8,4.3,NA,NA
2020-05-18,1,NA,1,4.5,NA,NA
2020-05-19,6,NA,6,4.9,NA,NA
2020-05-20,4,NA,4,5.2,NA,NA
2020-05-21,5,NA,5,5.7,NA,NA
2020-05-22,4,NA,4,5.4,NA,NA
2020-05-23,5,NA,5,6.4,NA,NA
2020-05-24,9,NA,9,6.8,NA,NA
2020-05-25,8,NA,8,6.9,NA,NA
2020-05-26,7,NA,7,7.2,NA,NA
2020-05-27,5,NA,5,7.6,NA,NA
2020-05-28,11,NA,11,8.8,NA,NA
2020-05-29,10,NA,10,8.7,NA,NA
2020-05-30,5,NA,5,9.4,NA,NA
