"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-04-03,1,NA,1,1,NA,NA
2020-04-04,1,NA,1,1,NA,NA
2020-04-05,1,NA,1,1,NA,NA
2020-04-11,1,NA,1,1.11111111111111,NA,NA
2020-04-13,1,NA,1,1.1,NA,NA
2020-04-14,1,NA,1,1.1,NA,NA
2020-04-16,1,NA,1,1.3,NA,NA
2020-04-21,1,NA,1,1.6,NA,NA
2020-04-22,2,NA,2,2,NA,NA
2020-04-23,1,NA,1,2.3,NA,NA
2020-04-24,1,NA,1,2.6,NA,NA
2020-04-25,3,NA,3,2.9,NA,NA
2020-04-27,4,NA,4,2.9,NA,NA
2020-04-28,5,NA,5,3,NA,NA
2020-04-29,4,NA,4,3.5,NA,NA
2020-04-30,4,NA,4,4.3,NA,NA
2020-05-01,4,NA,4,4.9,NA,NA
2020-05-02,1,NA,1,4.8,NA,NA
2020-05-03,3,NA,3,5.4,NA,NA
2020-05-04,6,NA,6,5.4,NA,NA
2020-05-05,9,NA,9,5.6,NA,NA
2020-05-06,9,NA,9,5.9,NA,NA
2020-05-07,3,NA,3,6.2,NA,NA
2020-05-08,11,NA,11,6.9,NA,NA
2020-05-09,4,NA,4,6.6,NA,NA
2020-05-10,6,NA,6,6.7,NA,NA
2020-05-11,7,NA,7,6.9,NA,NA
2020-05-12,4,NA,4,7.7,NA,NA
2020-05-13,10,NA,10,7.5,NA,NA
2020-05-14,3,NA,3,7.6,NA,NA
2020-05-15,10,NA,10,7.9,NA,NA
2020-05-16,11,NA,11,8.1,NA,NA
2020-05-17,11,NA,11,8.6,NA,NA
2020-05-18,9,NA,9,8.1,NA,NA
2020-05-19,5,NA,5,8.6,NA,NA
2020-05-20,9,NA,9,8.3,NA,NA
2020-05-21,9,NA,9,7.8,NA,NA
2020-05-22,9,NA,9,7.7,NA,NA
2020-05-23,5,NA,5,7.2,NA,NA
2020-05-24,8,NA,8,7.3,NA,NA
2020-05-25,7,NA,7,7,NA,NA
2020-05-26,6,NA,6,6.7,NA,NA
2020-05-27,10,NA,10,6.5,NA,NA
2020-05-28,4,NA,4,6.4,NA,NA
2020-05-29,6,NA,6,5.9,NA,NA
2020-05-30,6,NA,6,6.2,NA,NA
2020-05-31,6,NA,6,6.3,NA,NA
2020-06-01,7,NA,7,6.2,NA,NA
2020-06-02,4,NA,4,6,NA,NA
2020-06-03,3,NA,3,6.2,NA,NA
2020-06-04,10,NA,10,6.2,NA,NA
2020-06-05,7,NA,7,6.2,NA,NA
2020-06-06,9,NA,9,6,NA,NA
2020-06-07,2,NA,2,6,NA,NA
2020-06-08,8,NA,8,6.2,NA,NA
2020-06-09,6,NA,6,5.8,NA,NA
2020-06-10,6,NA,6,5.8,NA,NA
2020-06-11,5,NA,5,5.4,NA,NA
2020-06-12,4,NA,4,5.7,NA,NA
2020-06-13,5,NA,5,5.1,NA,NA
2020-06-14,6,NA,6,5.1,NA,NA
2020-06-15,7,NA,7,5.2,NA,NA
2020-06-16,5,NA,5,4.9,NA,NA
2020-06-17,5,NA,5,4.7,NA,NA
2020-06-18,2,NA,2,4.5,NA,NA
2020-06-19,6,NA,6,4,NA,NA
2020-06-20,7,NA,7,4,NA,NA
2020-06-21,2,NA,2,3.6,NA,NA
2020-06-22,2,NA,2,3.7,NA,NA
2020-06-23,3,NA,3,3.9,NA,NA
2020-06-24,1,NA,1,3.5,NA,NA
2020-06-25,7,NA,7,3,NA,NA
2020-06-26,1,NA,1,2.9,NA,NA
2020-06-27,6,NA,6,2.9,NA,NA
2020-06-28,4,NA,4,2.8,NA,NA
2020-06-29,2,NA,2,3.4,NA,NA
