"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-19,1,NA,1,1.33333333333333,NA,NA
2020-03-20,2,NA,2,1.28571428571429,NA,NA
2020-03-27,2,NA,2,1.25,NA,NA
2020-03-28,1,NA,1,1.44444444444444,NA,NA
2020-03-29,1,NA,1,1.4,NA,NA
2020-03-30,1,NA,1,1.8,NA,NA
2020-04-01,1,NA,1,1.8,NA,NA
2020-04-05,1,NA,1,1.9,NA,NA
2020-04-06,3,NA,3,2.2,NA,NA
2020-04-07,1,NA,1,2.2,NA,NA
2020-04-10,5,NA,5,2.2,NA,NA
2020-04-11,2,NA,2,2.3,NA,NA
2020-04-14,3,NA,3,2.5,NA,NA
2020-04-15,4,NA,4,2.2,NA,NA
2020-04-17,1,NA,1,2.1,NA,NA
2020-04-18,1,NA,1,1.8,NA,NA
2020-04-19,2,NA,2,1.9,NA,NA
2020-04-20,3,NA,3,1.7,NA,NA
2020-04-21,NA,0,0,1.3,0,0
2020-04-22,NA,0,0,1.2,0,1
2020-04-23,NA,2,2,1.4,2,3
2020-04-24,NA,3,3,1.4,3,4
2020-04-25,NA,1,1,1.4,1,2
2020-04-26,NA,0,0,1.8,0,1
2020-04-27,NA,0,0,2,0,2
2020-04-28,NA,3,3,2.2,3,5
2020-04-29,NA,2,2,2.5,2,4
2020-04-30,NA,3,3,2.4,3,5
2020-05-01,NA,4,4,2.9,4,7
2020-05-02,NA,2,2,3.2,2,5
2020-05-03,NA,4,4,3.5,4,7
2020-05-04,NA,6,6,3.6,5,9
2020-05-05,NA,0,0,3.4,0,3
2020-05-06,NA,5,5,3.2,4,8
2020-05-07,NA,3,3,3.2,2,6
2020-05-08,NA,6,6,2.8,5,9
2020-05-09,NA,3,3,2.2,2,6
2020-05-10,NA,1,1,2.2,0,3
2020-05-11,NA,2,2,1.8,1,4
2020-05-12,NA,2,2,1.6,1,4
2020-05-13,NA,0,0,1.1,0,3
2020-05-14,NA,0,0,1,0,3
2020-05-15,NA,0,0,1,0,3
2020-05-16,NA,1,1,0.9,0,4
2020-05-17,NA,1,1,0.8,0,4
2020-05-18,NA,1,1,0.9,0,4
2020-05-19,NA,2,2,1,1,5
2020-05-20,NA,1,1,1.1,0,5
2020-05-21,NA,1,1,1.1,0,5
2020-05-22,NA,1,1,1.1,0,5
2020-05-23,NA,1,1,1.1,0,6
2020-05-24,NA,1,1,1,0,6
2020-05-25,NA,1,1,1,0,7
2020-05-26,NA,1,1,1,0,8
2020-05-27,NA,1,1,1,0,9
2020-05-28,NA,1,1,1,0,10
2020-05-29,NA,1,1,1,0,12
